Product_Type,Brand,Build_Quality,User_Lifespan,Usage_Pattern,Expiry_Years,Condition,Original_Price,Used_Duration,Current_Price
DSLR Camera,Fujifilm,3,9.3,Light,9.9,3,79235,6,23722.48
Air Conditioner,Carrier,4,14.3,Light,15.100000000000001,4,34029,3,23178.03
Tablet,Samsung,2,4.1,Moderate,4.4,1,35470,5,500.0
Gaming Console,Microsoft,5,6.0,Moderate,6.9,1,64059,11,500.0
DSLR Camera,Fujifilm,5,7.8,Light,8.8,2,75428,12,500.0
Air Conditioner,LG,3,12.4,Heavy,12.7,2,57522,7,14199.33
Smartphone,OnePlus,5,2.6,Moderate,3.5,4,37148,9,500.0
Refrigerator,Whirlpool,4,10.9,Light,11.700000000000001,4,31327,10,3869.02
Smartphone,Vivo,4,4.8,Light,5.6,4,66491,9,500.0
Washing Machine,Samsung,4,9.1,Heavy,9.6,4,37026,11,500.0
Microwave,Samsung,5,7.3,Moderate,8.200000000000001,1,15339,2,4639.11
Microwave,Samsung,1,5.7,Light,5.9,5,14725,3,7237.71
TV,Samsung,3,11.3,Light,11.9,4,132128,3,83995.66
Microwave,IFB,4,8.0,Moderate,8.700000000000001,2,5551,2,2351.2
Tablet,Huawei,3,6.5,Moderate,7.0,3,64828,12,500.0
Laptop,Acer,5,6.7,Light,7.7,3,51664,6,7984.44
Smartphone,Xiaomi,3,3.3,Light,3.9,5,50663,8,500.0
DSLR Camera,Canon,5,5.0,Heavy,5.7,5,148493,2,96390.19
Air Conditioner,Blue Star,1,9.4,Moderate,9.5,3,52621,1,32957.36
TV,Sony,3,9.5,Moderate,10.0,3,147954,6,41427.12
Smartphone,Apple,1,4.1,Heavy,4.0,3,58737,1,28193.76
Laptop,HP,5,5.4,Light,6.4,3,68673,9,500.0
Refrigerator,Whirlpool,3,13.1,Moderate,13.6,1,64221,10,6799.87
Smartphone,Realme,2,3.9,Heavy,4.0,4,75549,10,500.0
Gaming Console,Sony,3,5.5,Light,6.1,2,77614,7,500.0
Air Conditioner,Carrier,5,12.6,Moderate,13.5,1,39387,6,8752.67
Electric Scooter,TVS,4,7.8,Light,8.6,1,147071,12,500.0
Electric Scooter,Hero,4,4.3,Light,5.1,1,67091,7,500.0
Smartphone,OnePlus,3,3.3,Moderate,3.8,4,80177,9,500.0
Smartphone,OnePlus,3,2.7,Heavy,3.0000000000000004,4,108523,6,500.0
Laptop,HP,5,6.6,Light,7.6,2,65140,8,500.0
Gaming Console,Microsoft,4,4.1,Moderate,4.8,5,71993,12,500.0
Gaming Console,Microsoft,5,4.4,Moderate,5.300000000000001,5,77158,4,18925.55
Laptop,Asus,3,6.4,Light,7.0,4,149696,7,500.0
Tablet,Lenovo,2,5.3,Moderate,5.6000000000000005,3,36174,5,2480.5
Smartwatch,Noise,5,4.6,Heavy,5.3,1,23879,10,500.0
Gaming Console,Microsoft,1,4.0,Heavy,3.9000000000000004,5,51571,12,500.0
Microwave,Panasonic,5,8.2,Light,9.2,1,21796,10,500.0
Air Conditioner,Blue Star,3,9.3,Moderate,9.8,4,40685,6,13409.44
Smartphone,Apple,1,4.8,Heavy,4.7,1,22728,2,3655.82
Washing Machine,LG,3,13.4,Moderate,13.9,3,26597,1,17278.48
Air Conditioner,LG,3,8.9,Heavy,9.2,2,41805,5,10496.69
Air Conditioner,LG,2,12.9,Heavy,13.0,2,43427,1,22047.55
Tablet,Apple,2,4.7,Heavy,4.800000000000001,5,19848,9,500.0
Smartphone,Apple,3,3.0,Heavy,3.3000000000000003,2,31598,1,10130.51
DSLR Camera,Nikon,1,7.2,Light,7.4,4,149151,12,500.0
Gaming Console,Sony,4,6.3,Light,7.1,2,51856,1,28513.5
Tablet,Samsung,5,5.0,Moderate,5.9,5,56843,11,500.0
Tablet,Samsung,5,5.2,Heavy,5.9,3,71956,1,38246.44
Tablet,Apple,4,3.7,Light,4.5,3,15435,5,500.0
TV,Sony,1,13.3,Heavy,13.2,5,88407,7,41524.5
Gaming Console,Nintendo,4,3.6,Moderate,4.300000000000001,1,33711,12,500.0
Laptop,HP,5,4.2,Light,5.2,2,38253,2,12947.17
Smartwatch,Boat,2,3.1,Heavy,3.2,5,43628,6,500.0
Microwave,Samsung,4,5.5,Light,6.3,5,6288,11,500.0
Refrigerator,Bosch,5,12.2,Heavy,12.899999999999999,4,23392,1,18341.87
TV,Sony,4,8.9,Light,9.700000000000001,3,30878,3,14929.67
TV,OnePlus,5,8.3,Heavy,9.0,1,145598,9,500.0
Air Conditioner,Daikin,2,10.9,Light,11.3,1,41541,9,3382.1
Tablet,Samsung,1,3.7,Light,3.9000000000000004,5,76932,6,500.0
TV,Samsung,1,12.9,Moderate,13.0,5,117835,5,72513.85
Microwave,Panasonic,3,6.1,Heavy,6.3999999999999995,4,25856,8,500.0
Microwave,Samsung,5,5.4,Light,6.4,4,18415,2,10761.27
DSLR Camera,Fujifilm,1,5.3,Moderate,5.4,4,164145,4,37449.38
Refrigerator,LG,1,11.5,Heavy,11.399999999999999,1,45708,8,5452.88
Tablet,Apple,4,5.3,Heavy,5.8,1,31867,1,7384.35
Smartwatch,Samsung,3,4.2,Light,4.800000000000001,3,20269,11,500.0
TV,LG,2,9.2,Heavy,9.299999999999999,1,131624,8,7359.62
Tablet,Samsung,1,4.9,Light,5.1000000000000005,5,63703,11,500.0
Washing Machine,Samsung,2,14.9,Moderate,15.200000000000001,4,36078,10,10491.1
DSLR Camera,Sony,4,8.1,Moderate,8.8,3,131801,4,54637.51
Laptop,Apple,2,6.4,Moderate,6.700000000000001,4,136598,6,12130.72
Gaming Console,Sony,1,3.9,Heavy,3.8,5,34775,12,500.0
Gaming Console,Microsoft,5,4.1,Light,5.1,4,35889,5,619.26
DSLR Camera,Canon,4,9.3,Moderate,10.000000000000002,2,175468,11,500.0
Microwave,LG,5,5.8,Light,6.8,5,11281,5,2986.15
Gaming Console,Microsoft,3,6.8,Heavy,7.1000000000000005,5,56704,2,40731.04
Electric Scooter,Ola,5,4.8,Moderate,5.7,4,132402,3,53309.23
DSLR Camera,Nikon,1,7.4,Light,7.6000000000000005,2,88356,2,41666.83
Tablet,Apple,2,5.4,Light,5.800000000000001,1,31164,1,7221.45
Tablet,Apple,3,6.5,Moderate,7.0,2,18456,3,4851.29
Laptop,Lenovo,5,4.1,Heavy,4.8,2,109548,3,22594.28
Air Conditioner,Voltas,4,13.6,Moderate,14.3,5,46204,5,30048.76
Smartwatch,Noise,4,2.4,Heavy,2.9000000000000004,1,24504,6,500.0
Washing Machine,IFB,1,11.8,Light,12.0,2,20992,1,10583.47
Air Conditioner,Carrier,4,11.2,Light,12.0,2,34496,8,6324.27
Washing Machine,Samsung,4,9.2,Light,10.0,5,28340,5,14170.0
DSLR Camera,Canon,3,6.5,Heavy,6.8,3,147804,7,500.0
Smartwatch,Apple,3,4.7,Moderate,5.200000000000001,5,33072,8,500.0
Washing Machine,Bosch,5,9.5,Heavy,10.2,5,30684,12,500.0
DSLR Camera,Sony,4,6.1,Light,6.8999999999999995,3,70746,8,500.0
Smartphone,Vivo,1,2.2,Heavy,2.1000000000000005,2,110662,11,500.0
Washing Machine,Whirlpool,3,14.8,Light,15.4,4,22732,3,15558.14
Gaming Console,Nintendo,1,4.2,Moderate,4.300000000000001,3,57593,7,500.0
Electric Scooter,Hero,5,5.1,Moderate,6.0,1,152577,7,500.0
Air Conditioner,Blue Star,5,12.4,Moderate,13.3,2,45208,5,15516.88
DSLR Camera,Canon,4,9.8,Light,10.600000000000001,3,175427,10,7546.67
Refrigerator,Samsung,3,8.2,Moderate,8.7,3,21871,8,1231.81
Laptop,HP,3,6.8,Light,7.4,1,137774,5,17873.38
Washing Machine,LG,2,14.7,Heavy,14.799999999999999,2,55177,11,7791.89
Gaming Console,Nintendo,2,5.9,Light,6.300000000000001,5,39933,7,500.0
DSLR Camera,Nikon,3,7.3,Light,7.9,4,128552,3,70166.61
Electric Scooter,TVS,3,6.0,Light,6.6,1,64566,11,500.0
Electric Scooter,Ola,4,6.5,Moderate,7.2,5,108119,10,500.0
Tablet,Huawei,3,5.0,Moderate,5.5,4,21730,1,14578.85
Microwave,IFB,3,6.6,Heavy,6.8999999999999995,2,18076,11,500.0
Electric Scooter,TVS,1,5.7,Moderate,5.800000000000001,5,149749,5,20655.03
DSLR Camera,Sony,4,8.0,Light,8.8,5,115707,8,10518.82
Gaming Console,Sony,3,4.8,Heavy,5.1000000000000005,4,78985,10,500.0
Smartwatch,Boat,4,4.1,Light,4.8999999999999995,1,21928,5,500.0
Electric Scooter,TVS,2,7.7,Moderate,8.0,3,113440,12,500.0
Air Conditioner,Carrier,2,11.6,Heavy,11.7,5,46075,2,38198.93
TV,Samsung,5,13.9,Moderate,14.8,2,199199,10,35532.79
Gaming Console,Microsoft,5,6.4,Moderate,7.300000000000001,4,70404,8,500.0
TV,Samsung,4,10.9,Light,11.700000000000001,5,185632,10,26972.17
Refrigerator,Whirlpool,1,12.9,Light,13.1,2,46408,3,19679.12
DSLR Camera,Canon,4,6.9,Light,7.7,2,83322,8,500.0
Laptop,Apple,5,4.5,Heavy,5.2,3,30445,2,13114.77
DSLR Camera,Nikon,4,7.0,Heavy,7.5,2,186690,6,23896.32
Washing Machine,IFB,2,13.0,Heavy,13.1,1,26541,10,2512.28
TV,Samsung,5,9.5,Heavy,10.2,2,51025,7,8804.31
Laptop,HP,4,6.7,Heavy,7.2,5,93161,8,500.0
Smartphone,OnePlus,4,3.0,Light,3.8,3,8052,10,500.0
Refrigerator,Whirlpool,3,13.4,Moderate,13.9,3,76149,12,7286.2
Electric Scooter,Hero,3,6.5,Moderate,7.0,3,118653,5,23730.6
Tablet,Apple,3,6.9,Moderate,7.4,3,14107,4,4148.22
Washing Machine,IFB,4,12.5,Heavy,13.0,5,52001,6,28000.54
Air Conditioner,Carrier,5,13.2,Moderate,14.1,4,29757,11,5560.97
Tablet,Apple,3,4.7,Heavy,5.000000000000001,4,66695,1,43751.92
Microwave,Samsung,2,8.9,Heavy,9.0,4,29015,4,13701.53
Microwave,Morphy Richards,5,5.3,Heavy,6.0,1,6062,4,808.27
Electric Scooter,Ola,1,7.1,Moderate,7.2,4,63981,2,39277.22
Gaming Console,Nintendo,5,5.6,Heavy,6.3,3,30688,12,500.0
Washing Machine,LG,4,13.5,Moderate,14.200000000000001,1,59294,2,20377.09
TV,TCL,3,12.0,Light,12.6,1,187613,2,63133.26
Smartphone,Vivo,4,3.0,Heavy,3.5,1,22742,12,500.0
Washing Machine,LG,2,14.0,Moderate,14.3,4,17760,5,9817.68
Tablet,Lenovo,5,4.4,Light,5.4,4,31458,4,6687.74
Microwave,Samsung,1,7.3,Light,7.5,4,20475,9,500.0
TV,OnePlus,1,9.3,Light,9.5,3,71616,12,500.0
Washing Machine,LG,5,13.9,Light,14.9,2,33831,9,7367.89
Gaming Console,Sony,3,6.8,Heavy,7.1000000000000005,3,40560,9,500.0
Washing Machine,Whirlpool,1,12.2,Heavy,12.099999999999998,4,34483,5,17198.75
Smartwatch,Noise,5,4.8,Light,5.8,4,14926,11,500.0
Electric Scooter,Hero,2,6.9,Light,7.300000000000001,4,139816,6,21163.93
Refrigerator,Godrej,4,10.1,Moderate,10.8,5,39646,1,35975.07
TV,Samsung,5,9.6,Heavy,10.299999999999999,5,199347,11,500.0
Smartphone,OnePlus,5,2.3,Light,3.3,4,24856,3,1852.9
Gaming Console,Microsoft,4,4.7,Heavy,5.2,2,59724,10,500.0
DSLR Camera,Nikon,1,5.3,Heavy,5.2,1,166242,10,500.0
Gaming Console,Sony,3,6.9,Moderate,7.4,1,77080,5,12999.44
TV,Sony,3,9.8,Light,10.4,1,78660,1,28438.62
Washing Machine,Samsung,3,12.8,Heavy,13.1,2,16158,4,6173.34
DSLR Camera,Canon,1,7.0,Moderate,7.1000000000000005,1,64372,7,500.0
Air Conditioner,Carrier,3,9.9,Moderate,10.4,5,50141,2,40498.5
Air Conditioner,Carrier,1,9.1,Heavy,8.999999999999998,2,36445,6,6681.58
Tablet,Lenovo,5,4.6,Light,5.6,1,15180,12,500.0
Electric Scooter,Ather,1,6.4,Heavy,6.300000000000001,4,83149,1,59458.13
Washing Machine,Bosch,4,14.6,Moderate,15.3,1,57013,1,21314.66
DSLR Camera,Fujifilm,5,7.0,Heavy,7.7,4,186220,7,14897.6
Laptop,Apple,5,5.0,Light,6.0,3,113209,12,500.0
Tablet,Lenovo,4,4.3,Light,5.1,5,31697,6,500.0
TV,TCL,1,8.1,Moderate,8.2,1,147661,10,500.0
Microwave,IFB,3,8.6,Moderate,9.1,3,28418,3,13334.6
DSLR Camera,Fujifilm,2,6.0,Moderate,6.300000000000001,4,73129,6,3064.45
Electric Scooter,TVS,5,4.1,Moderate,5.0,5,140797,2,84478.2
Gaming Console,Microsoft,2,5.6,Moderate,5.9,2,46206,3,14535.31
DSLR Camera,Sony,2,7.7,Heavy,7.8,1,123707,9,500.0
Laptop,Apple,1,3.9,Light,4.1,1,42037,2,8612.46
Refrigerator,Samsung,5,9.6,Light,10.6,4,66035,2,45539.23
Gaming Console,Nintendo,1,6.0,Light,6.2,2,30686,7,500.0
Gaming Console,Sony,4,4.2,Moderate,4.9,3,49211,8,500.0
DSLR Camera,Fujifilm,5,9.0,Heavy,9.7,3,42995,7,9095.44
Smartphone,Samsung,5,3.3,Heavy,4.0,2,55909,9,500.0
TV,LG,2,11.1,Light,11.5,5,105710,6,50556.96
Smartwatch,Amazfit,1,4.8,Heavy,4.7,2,3788,7,500.0
Electric Scooter,Hero,2,6.6,Light,7.0,4,119105,9,500.0
TV,LG,2,11.2,Heavy,11.299999999999999,2,35830,9,4011.06
Smartphone,Xiaomi,2,3.9,Light,4.3,5,44990,12,500.0
Washing Machine,IFB,5,14.0,Heavy,14.7,1,23726,5,6262.37
TV,LG,3,9.1,Heavy,9.399999999999999,3,197882,11,500.0
DSLR Camera,Nikon,1,8.1,Moderate,8.2,2,159653,2,77256.48
Smartphone,Realme,1,2.7,Moderate,2.8000000000000003,3,12395,10,500.0
Electric Scooter,TVS,3,6.9,Light,7.5,5,107216,10,500.0
Gaming Console,Microsoft,2,4.6,Moderate,4.9,2,75784,8,500.0
Smartphone,Samsung,4,4.0,Moderate,4.7,4,33475,7,500.0
Air Conditioner,Daikin,5,10.8,Moderate,11.700000000000001,3,35880,2,20822.67
Smartwatch,Boat,3,4.5,Moderate,5.0,1,48409,11,500.0
Smartphone,Samsung,2,4.2,Light,4.6000000000000005,2,56900,9,500.0
Air Conditioner,Carrier,4,12.0,Heavy,12.5,2,45784,3,19137.71
Refrigerator,Bosch,4,9.5,Heavy,10.0,3,78426,5,27449.1
Microwave,IFB,4,8.6,Light,9.4,2,11272,5,2901.94
Smartwatch,Boat,3,2.3,Moderate,2.8,1,6302,11,500.0
Washing Machine,LG,5,14.3,Light,15.3,2,57707,7,17217.81
Laptop,Asus,3,5.5,Heavy,5.8,2,107892,7,500.0
Smartphone,Apple,4,4.7,Moderate,5.4,1,74203,12,500.0
Refrigerator,LG,1,13.7,Heavy,13.599999999999998,5,62882,9,21268.91
Electric Scooter,Ather,1,5.7,Moderate,5.800000000000001,5,129059,6,500.0
TV,Sony,3,13.5,Moderate,14.0,3,18491,10,3698.2
Electric Scooter,Bajaj,5,5.7,Moderate,6.6000000000000005,1,152732,5,14810.38
Smartwatch,Boat,3,3.8,Heavy,4.1000000000000005,2,15975,5,500.0
TV,LG,2,10.7,Heavy,10.799999999999999,4,69816,2,48354.04
Air Conditioner,Carrier,5,14.1,Heavy,14.799999999999999,5,27334,4,19946.43
TV,Samsung,1,8.8,Moderate,8.9,3,22569,9,500.0
Refrigerator,Bosch,4,11.2,Light,12.0,5,72323,9,18080.75
Air Conditioner,Blue Star,3,14.3,Moderate,14.8,3,55789,5,25858.96
DSLR Camera,Canon,4,8.8,Light,9.600000000000001,1,133221,1,62058.78
Air Conditioner,LG,1,8.3,Moderate,8.4,5,51879,11,500.0
Refrigerator,Bosch,5,10.0,Heavy,10.7,4,29650,12,500.0
Smartphone,Vivo,1,2.2,Heavy,2.1000000000000005,3,14849,7,500.0
Microwave,Morphy Richards,3,5.5,Light,6.1,3,16635,4,4008.76
Smartphone,Realme,2,2.1,Light,2.5,5,84420,8,500.0
DSLR Camera,Sony,5,9.2,Heavy,9.899999999999999,3,147781,5,55589.54
Gaming Console,Nintendo,3,4.0,Moderate,4.5,1,38416,4,2219.59
Laptop,Asus,1,6.5,Light,6.7,2,145837,8,500.0
Gaming Console,Sony,4,6.6,Light,7.3999999999999995,3,53576,11,500.0
Smartphone,Samsung,2,2.6,Moderate,2.9,5,84882,2,26342.69
Washing Machine,LG,1,13.3,Moderate,13.4,4,15835,1,12455.29
Air Conditioner,LG,4,9.2,Moderate,9.9,1,43020,5,8517.09
Smartphone,OnePlus,4,4.2,Moderate,4.9,2,51813,1,18969.9
Refrigerator,Godrej,1,9.8,Heavy,9.7,1,74475,9,2149.79
Smartphone,Samsung,3,4.3,Light,4.9,5,74685,8,500.0
Tablet,Apple,4,7.0,Light,7.8,4,64905,12,500.0
TV,Samsung,4,11.1,Heavy,11.6,2,105960,1,53254.03
Microwave,Samsung,3,8.7,Light,9.299999999999999,5,29977,9,967.0
TV,Samsung,4,14.9,Light,15.700000000000001,3,37417,1,24523.63
Laptop,Dell,3,6.3,Moderate,6.800000000000001,4,30342,7,500.0
Laptop,Asus,1,6.5,Moderate,6.6000000000000005,5,143624,12,500.0
Tablet,Lenovo,5,6.3,Light,7.3,1,63285,2,12865.06
Smartwatch,Apple,3,2.3,Moderate,2.8,2,23303,8,500.0
Air Conditioner,Voltas,4,13.0,Moderate,13.700000000000001,1,52476,2,17926.11
Electric Scooter,Hero,5,5.1,Light,6.1,3,96305,8,500.0
Smartwatch,Apple,4,4.1,Moderate,4.8,5,23977,11,500.0
Gaming Console,Nintendo,5,6.9,Heavy,7.6000000000000005,1,30747,5,5469.73
Washing Machine,Whirlpool,4,11.7,Moderate,12.4,5,39350,12,1269.35
Gaming Console,Microsoft,3,5.2,Light,5.800000000000001,5,78945,8,500.0
TV,TCL,5,14.4,Heavy,15.1,3,183927,12,26431.89
Washing Machine,Whirlpool,4,8.7,Heavy,9.2,3,32266,6,7856.07
Laptop,HP,1,5.6,Heavy,5.5,4,97293,5,7518.1
Tablet,Apple,5,4.9,Light,5.9,1,58207,7,500.0
Washing Machine,Bosch,1,14.3,Moderate,14.4,1,28371,10,3467.57
Refrigerator,Bosch,5,9.7,Heavy,10.399999999999999,2,57411,12,500.0
Electric Scooter,TVS,4,5.5,Moderate,6.2,1,151692,8,500.0
TV,Samsung,1,12.5,Moderate,12.6,1,19691,10,1625.29
Tablet,Lenovo,4,6.7,Heavy,7.2,3,19991,12,500.0
TV,OnePlus,5,9.1,Light,10.1,4,44430,5,19069.71
Air Conditioner,Voltas,2,8.7,Moderate,9.0,3,42873,3,20007.4
Microwave,LG,3,6.3,Moderate,6.800000000000001,3,7965,1,4755.57
Electric Scooter,Ola,1,5.8,Light,6.0,1,99573,6,500.0
Microwave,Samsung,5,7.4,Light,8.4,4,5349,9,500.0
Smartphone,Realme,4,4.8,Moderate,5.5,2,101489,6,500.0
Electric Scooter,Bajaj,2,6.7,Light,7.1000000000000005,2,105293,9,500.0
Smartphone,Apple,3,3.5,Heavy,3.8,5,107550,4,500.0
Microwave,Samsung,4,9.7,Moderate,10.4,5,21917,8,5057.77
Laptop,Acer,3,6.9,Light,7.5,4,31535,6,5360.95
Tablet,Huawei,4,6.6,Light,7.3999999999999995,1,64829,6,3434.18
Gaming Console,Nintendo,3,5.9,Light,6.5,5,55897,7,500.0
Smartwatch,Noise,1,2.0,Moderate,2.1,5,23563,7,500.0
Refrigerator,LG,3,14.0,Heavy,14.299999999999999,2,75582,4,29942.1
Microwave,Samsung,4,7.4,Heavy,7.900000000000001,1,8828,12,500.0
Refrigerator,Whirlpool,4,11.6,Moderate,12.3,2,67320,8,12944.05
TV,Sony,4,9.4,Light,10.200000000000001,2,99419,5,27876.31
Smartwatch,Apple,3,3.9,Heavy,4.2,1,47704,9,500.0
Electric Scooter,Bajaj,1,5.8,Moderate,5.9,1,141222,12,500.0
Washing Machine,LG,1,13.9,Light,14.1,2,20361,1,10404.33
Tablet,Samsung,4,3.8,Light,4.6,2,55699,12,500.0
Tablet,Huawei,2,7.0,Heavy,7.1000000000000005,2,24900,8,500.0
Refrigerator,LG,1,9.4,Light,9.6,4,45343,7,10438.34
Electric Scooter,Ather,3,7.5,Heavy,7.8,5,152093,10,500.0
Smartphone,Samsung,5,2.3,Heavy,3.0,3,57743,11,500.0
Laptop,HP,1,5.2,Heavy,5.1000000000000005,4,103312,3,36159.2
DSLR Camera,Sony,1,7.6,Moderate,7.7,2,194876,4,59930.7
Air Conditioner,LG,3,13.8,Heavy,14.1,2,27238,6,8606.05
Tablet,Lenovo,3,4.2,Moderate,4.700000000000001,2,78992,6,500.0
Air Conditioner,LG,5,10.3,Moderate,11.200000000000001,2,45300,3,18241.34
Smartwatch,Apple,4,2.9,Heavy,3.4000000000000004,5,25990,11,500.0
Laptop,Acer,2,5.6,Light,6.0,1,144787,5,9652.47
Washing Machine,Whirlpool,1,9.8,Moderate,9.9,1,38118,7,4466.35
Electric Scooter,Bajaj,2,5.6,Heavy,5.7,4,158857,7,500.0
Air Conditioner,LG,3,10.6,Light,11.2,3,40659,6,13214.18
Gaming Console,Nintendo,2,3.6,Light,4.0,1,69015,12,500.0
Refrigerator,LG,5,9.1,Moderate,10.0,4,69742,12,500.0
Laptop,Acer,4,6.5,Heavy,7.0,4,141171,5,34284.39
Microwave,Morphy Richards,4,8.9,Moderate,9.600000000000001,3,7474,1,4686.82
Gaming Console,Sony,5,4.3,Moderate,5.2,2,45754,5,1126.25
Washing Machine,IFB,4,12.2,Light,13.0,1,59254,9,7292.8
Electric Scooter,Ather,5,7.7,Heavy,8.399999999999999,5,112471,4,58913.38
Tablet,Huawei,2,4.4,Light,4.800000000000001,2,39321,8,500.0
Electric Scooter,Hero,5,5.8,Heavy,6.5,3,91058,9,500.0
Washing Machine,Bosch,4,11.7,Heavy,12.2,3,34141,9,6268.51
Tablet,Lenovo,5,4.0,Moderate,4.9,1,15797,12,500.0
Smartwatch,Samsung,5,3.7,Moderate,4.6000000000000005,5,26051,7,500.0
Electric Scooter,Ola,2,5.3,Light,5.7,4,80423,9,500.0
Refrigerator,LG,3,9.2,Light,9.799999999999999,2,79399,7,12476.99
Refrigerator,Bosch,5,11.0,Moderate,11.9,5,76036,9,18529.78
Smartwatch,Amazfit,1,2.9,Light,3.1,2,26861,11,500.0
Smartwatch,Apple,4,2.2,Moderate,2.9,4,13399,5,500.0
DSLR Camera,Fujifilm,4,6.5,Heavy,7.0,1,76197,1,33962.09
Refrigerator,Whirlpool,3,14.6,Light,15.2,5,74341,7,40105.01
Refrigerator,Samsung,4,9.3,Heavy,9.8,4,33504,9,2324.77
Electric Scooter,Ather,2,7.4,Light,7.800000000000001,1,99184,12,500.0
Air Conditioner,LG,1,12.8,Light,13.0,2,45346,8,9592.42
Smartphone,Realme,1,3.7,Heavy,3.6000000000000005,5,49865,1,36013.61
Smartphone,Realme,5,2.5,Heavy,3.2,2,108567,5,500.0
Laptop,Apple,3,4.6,Moderate,5.1,2,102880,5,1109.49
Microwave,LG,1,7.1,Heavy,7.0,5,8854,3,5059.43
Gaming Console,Sony,4,6.9,Moderate,7.6000000000000005,3,45313,3,20843.98
TV,LG,1,14.1,Light,14.299999999999999,1,50311,6,11680.6
Laptop,Apple,5,4.8,Moderate,5.7,3,133307,2,60572.83
Microwave,IFB,4,9.8,Moderate,10.500000000000002,5,25540,12,500.0
Electric Scooter,Hero,4,4.1,Moderate,4.8,2,69189,2,22198.14
Laptop,Dell,1,5.2,Light,5.4,4,50949,3,19247.4
Gaming Console,Microsoft,1,4.9,Moderate,5.000000000000001,1,58436,11,500.0
Microwave,LG,2,7.7,Moderate,8.0,2,22798,6,3134.73
Gaming Console,Nintendo,5,6.8,Moderate,7.7,5,78770,12,500.0
Smartwatch,Amazfit,3,5.0,Heavy,5.3,1,4602,9,500.0
Tablet,Lenovo,5,6.4,Light,7.4,1,13851,4,1781.91
TV,Samsung,2,13.1,Light,13.5,2,125851,11,12818.16
Laptop,Asus,1,6.8,Moderate,6.9,4,106539,12,500.0
DSLR Camera,Fujifilm,2,5.8,Moderate,6.1000000000000005,2,71629,6,751.52
Electric Scooter,TVS,5,5.6,Light,6.6,2,86050,8,500.0
Air Conditioner,Blue Star,2,10.0,Heavy,10.1,4,58409,1,44732.04
Tablet,Lenovo,4,5.0,Light,5.8,5,42851,10,500.0
Microwave,LG,5,5.9,Heavy,6.6000000000000005,4,5477,4,1833.97
Gaming Console,Nintendo,4,5.9,Heavy,6.4,2,67890,1,36660.6
Smartwatch,Samsung,4,2.4,Moderate,3.1,1,31038,3,500.0
Microwave,Morphy Richards,2,5.9,Moderate,6.200000000000001,1,11703,8,500.0
Laptop,Asus,1,5.7,Heavy,5.6000000000000005,5,83523,10,500.0
Microwave,Morphy Richards,1,7.7,Light,7.9,1,16148,1,5641.58
Smartphone,Realme,2,3.9,Heavy,4.0,2,72585,9,500.0
Microwave,Morphy Richards,1,6.1,Heavy,6.0,2,22275,9,500.0
Smartphone,Samsung,3,4.3,Heavy,4.6000000000000005,1,60599,1,13279.09
Smartwatch,Noise,3,2.6,Light,3.2,5,31056,3,1941.0
Refrigerator,Godrej,3,14.6,Light,15.2,1,26949,11,2978.57
TV,Samsung,5,14.8,Light,15.8,4,77922,6,41081.66
Smartwatch,Apple,1,4.7,Moderate,4.800000000000001,5,29993,2,17495.92
TV,LG,5,8.8,Light,9.8,4,138998,7,33756.66
Air Conditioner,LG,2,12.1,Moderate,12.4,3,48264,5,20161.9
Air Conditioner,Daikin,5,11.5,Heavy,12.2,2,54777,10,5432.8
Electric Scooter,Bajaj,2,7.8,Heavy,7.8999999999999995,4,105454,3,55596.95
Washing Machine,Samsung,1,14.3,Light,14.5,4,49630,12,7273.36
Tablet,Samsung,4,5.8,Light,6.6,4,67283,3,30093.85
TV,Sony,3,10.7,Heavy,10.999999999999998,2,117248,6,29312.0
Smartwatch,Noise,5,4.6,Moderate,5.5,5,9734,3,4424.55
Gaming Console,Microsoft,3,5.6,Moderate,6.1,2,56470,1,30216.08
Gaming Console,Nintendo,4,5.2,Light,6.0,2,35627,9,500.0
Electric Scooter,TVS,1,4.5,Heavy,4.4,5,106493,7,500.0
Air Conditioner,Daikin,3,14.1,Heavy,14.399999999999999,4,44539,2,32600.07
TV,TCL,4,8.1,Light,8.9,3,95292,12,500.0
DSLR Camera,Sony,4,9.1,Heavy,9.6,2,87588,9,3503.52
Washing Machine,Whirlpool,1,14.6,Heavy,14.499999999999998,3,42252,10,9178.88
Smartphone,Realme,2,4.2,Light,4.6000000000000005,2,110566,12,500.0
Refrigerator,Samsung,3,11.7,Light,12.299999999999999,1,53626,6,10986.79
TV,Sony,1,8.8,Moderate,8.9,4,193306,6,53539.25
Laptop,Acer,5,4.9,Moderate,5.800000000000001,2,33521,11,500.0
Smartphone,Vivo,2,2.1,Heavy,2.2,4,93487,3,500.0
TV,Samsung,4,11.7,Heavy,12.2,2,169401,8,32075.11
Laptop,Apple,4,6.7,Light,7.5,1,100391,12,500.0
DSLR Camera,Canon,1,6.0,Light,6.2,4,193313,4,60363.54
Gaming Console,Sony,5,3.5,Light,4.5,1,48089,12,500.0
DSLR Camera,Nikon,5,9.5,Light,10.5,2,162891,4,64535.86
Microwave,IFB,5,5.3,Heavy,6.0,5,15716,4,5238.67
Microwave,Morphy Richards,1,9.2,Light,9.399999999999999,1,23342,12,500.0
TV,LG,2,8.3,Light,8.700000000000001,5,44670,8,3594.14
Electric Scooter,Bajaj,2,4.1,Light,4.5,5,141795,8,500.0
